"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","PAYANN","PAYANN_N","PAYQTR1","PAYQTR1_N","EMP","EMP_N",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","313","N","N","N","N","N","N",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","350","N","N","N","N","N","N",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","123","N","N","N","N","N","N",
"0500000US48157","Fort Bend County, Texas","722","Food services and drinking places","001","All establishments","251","Establishments with 100 to 249 employees","2023","26","N","N","N","N","N","N",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","780","371071","G","87779","G","17081","G",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","201","N","N","N","N","N","N",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","131","N","N","N","N","N","N",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","155","N","N","N","N","N","N",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","212","N","N","N","N","N","N",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","61","N","N","N","N","N","N",
"0500000US48167","Galveston County, Texas","722","Food services and drinking places","001","All establishments","251","Establishments with 100 to 249 employees","2023","19","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","10038","5116275","G","1236324","G","215502","G",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","2687","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","1729","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","2146","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","2380","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","871","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","251","Establishments with 100 to 249 employees","2023","209","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","252","Establishments with 250 to 499 employees","2023","12","N","N","N","N","N","N",
"0500000US48201","Harris County, Texas","722","Food services and drinking places","001","All establishments","254","Establishments with 500 to 999 employees","2023","3","N","N","N","N","N","N",
"0500000US48291","Liberty County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","102","35694","G","8715","G","1738","G",
"0500000US48291","Liberty County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","24","N","N","N","N","N","N",
"0500000US48291","Liberty County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","22","N","N","N","N","N","N",
"0500000US48291","Liberty County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","26","N","N","N","N","N","N",
"0500000US48291","Liberty County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","24","N","N","N","N","N","N",
"0500000US48291","Liberty County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","6","N","N","N","N","N","N",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","1199","670702","G","160579","G","28918","G",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","290","N","N","N","N","N","N",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","143","N","N","N","N","N","N",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","258","N","N","N","N","N","N",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","369","N","N","N","N","N","N",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","242","Establishments with 50 to 99 employees","2023","113","N","N","N","N","N","N",
"0500000US48339","Montgomery County, Texas","722","Food services and drinking places","001","All establishments","251","Establishments with 100 to 249 employees","2023","24","N","N","N","N","N","N",
"0500000US48473","Waller County, Texas","722","Food services and drinking places","001","All establishments","001","All establishments","2023","65","14516","G","3658","G","835","G",
"0500000US48473","Waller County, Texas","722","Food services and drinking places","001","All establishments","210","Establishments with less than 5 employees","2023","20","N","N","N","N","N","N",
"0500000US48473","Waller County, Texas","722","Food services and drinking places","001","All establishments","220","Establishments with 5 to 9 employees","2023","10","N","N","N","N","N","N",
"0500000US48473","Waller County, Texas","722","Food services and drinking places","001","All establishments","230","Establishments with 10 to 19 employees","2023","20","N","N","N","N","N","N",
"0500000US48473","Waller County, Texas","722","Food services and drinking places","001","All establishments","241","Establishments with 20 to 49 employees","2023","15","N","N","N","N","N","N",
